site,year,agency,issue,Latitude,Longitude
5OLDSTR36.45,,MEDMR,Water warmer than air,44.97998623,-67.78088971
5WESTBR11.35,,MEDMR,Water warmer than air,44.98258747,-67.94542275
5WESTBR16.45,,MEDMR,Water warmer than air,44.98682482,-67.99198773
5WESTBR17.38,,MEDMR,Water warmer than air,44.98988211,-68.00288186
5WESTBR21.87,,MEDMR,Water warmer than air,45.01528238,-68.02756982
5WESTBR22.05,,MEDMR,Water warmer than air,45.01626067,-68.02934276
5WESTBR22.07,,MEDMR,Water warmer than air,45.0163614,-68.02954412
5WESTBR22.14,,MEDMR,Water warmer than air,45.01691324,-68.02986478
6CHASEM2.17,,MEDMR,Water warmer than air,44.75644595,-67.36024878
6CHASEM2.17,multiple,MEDMR,Possible impoundment release,44.75644595,-67.36024878
6MAINST0.24,,MEDMR,Water warmer than air,44.73604759,-67.39003867
6MAINST0.24,multiple,MEDMR,Possible impoundment release,44.73604759,-67.39003867
6MAINST0.39,2002,MEDMR,Possible impoundment release,44.73728845,-67.38929693
6MAINST0.39,,MEDMR,Water warmer than air,44.73728845,-67.38929693
6MAINST25.79,2005,MEDMR,Possible impoundment release,44.88467559,-67.50606455
6MAINST25.79,,MEDMR,Water warmer than air,44.88467559,-67.50606455
6MAINST33.75,,MEDMR,Water warmer than air,44.92520669,-67.55604191
6NORTHE13.27,,MEDMR,Water warmer than air,44.9835479,-67.52082503
6SEAVEY1.37,,MEDMR,Water warmer than air,44.92506946,-67.57017393
7CATHAN4.48,,MEDMR,Water warmer than air,44.88716963,-67.26660527
7CATHAN10.90,,MEDMR,Water warmer than air,44.87701518,-67.3019427
7CATHAN11.09,,MEDMR,Water warmer than air,44.87769503,-67.30407506
7CATHAN12.65,,MEDMR,Water warmer than air,44.88506849,-67.31690082
7CATHAN15.61,,MEDMR,Water warmer than air,44.90389243,-67.33783423
7MAINST1.43,,MEDMR,Water warmer than air,44.89639644,-67.22672438
7MAINST1.48,,MEDMR,Water warmer than air,44.89594576,-67.22668757
7MAINST1.55,,MEDMR,Water warmer than air,44.89532452,-67.22668134
7MAINST1.56,,MEDMR,Water warmer than air,44.89523474,-67.22669677
7MAINST1.81,,MEDMR,Water warmer than air,44.89308054,-67.22652237
7MAINST12.54,,MEDMR,Water warmer than air,44.9289716,-67.29506444
7MAINST13.38,,MEDMR,Water warmer than air,44.93409399,-67.29688988
7MAINST15.07,,MEDMR,Water warmer than air,44.94343429,-67.29965576
7MAINST18.99,,MEDMR,Water warmer than air,44.95890838,-67.29540771
7MAINST21.00,2002,MEDMR,Possible impoundment release,44.96749249,-67.31333755
7MAINST21.00,,MEDMR,Water warmer than air,44.96749249,-67.31333755
7MAINST23.53,,MEDMR,Water warmer than air,44.97656707,-67.33422624
8MAINST64.05,,MEDMR,Water warmer than air,45.47873069,-67.50056442
8MAINST80.60,,MEDMR,Water warmer than air,45.5189803,-67.42865049
8STONYB1.32,,MEDMR,Water warmer than air,45.12049089,-67.35674305
3MAINST55.55,2003,MEDMR,Possible impoundment release,44.90009815,-68.09500887
5FLETCHR7.35,2006,MEDMR,Logger out of water,45.05209,-67.92324
